Country_code,electricity,domestic aviation,road non-elec,rail non-elec,domestic navigation,services non-elec,residential non-elec,international aviation,international navigation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
EU28,1431.71981456,14.161494630000002,710.15950758,13.279854940000002,29.825660310000004,199.14210752,506.10384948,68.57371635,109.58692664,326.05781149,14.750171540000002,-280.6466252,5.2684979499999995,0.0,4.28069346,1043.4465048999991
NO,0.40695547,0.6793777700000001,7.63017858,0.0964038,1.69641058,0.8755690599999999,1.5663243500000001,0.61946955,1.47805088,6.40199639,0.23152386000000003,-10.81445694,0.00018937,0.0,0.0,14.02193844
CH,2.1037652399999995,0.25255489,13.967082809999999,0.02868849,0.11427297,5.27335635,11.58600109,3.0659231100000004,0.05980761999999999,3.14887093,0.04890354,-0.8184947300000001,0.05373302,0.010960000000000001,0.40270704,4.448019599999999
BA,9.4888,0.0,0.0,0.0,0.0,0.0,0.07388888888888889,0.0,0.0,,0.0,,,,,3.9403888888888887
RS,36.885025,0.0,4.921395833333334,0.0,0.0,0.0,2.1207083333333334,0.47658333333333336,0.0,,0.22899999999999998,,,,,10.169268055555554
AL,0.5351666666666666,0.0,0.7733791666666666,0.0,0.0,0.0,0.3343499999999999,0.0,0.0,,0.0,,,,,2.1075930555555553
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
MK,5.4045,0.0,0.8439958333333332,0.023749999999999997,0.0,0.0148,0.4386541666666667,0.017020833333333332,0.0,,0.1498625,,,,,1.7150916666666665
FR,49.33418501,4.30586185,112.12013325999999,1.0704729400000002,1.0047898,30.59307575,54.721036840000004,8.608809229999999,7.953460590000001,31.31799635,1.7654928300000001,-30.066438419999997,2.20857629,0.0,0.0,93.41021854000003
DE,338.45115956,2.3735386800000002,151.8805525,2.90052204,3.6445326700000007,64.1058947,128.63575218,11.95963055,6.4053476,60.04224728,3.18361405,-33.01781083,0.0,0.0,0.0,279.41470945
GB,203.0977572,1.50199476,107.89178643,1.45518118,7.53574894,25.4422382,78.34418855000001,15.378189350000001,9.11504432,24.52537278,1.3399644800000001,-4.37694683,1.36306315,0.0,0.0,121.73293918000005
IT,106.79731151,1.49311851,92.25665275,0.61332569,5.47011126,12.195256670000001,55.55435172000001,4.2847785400000005,4.45375105,29.38478802,0.46619505999999994,-5.3492871399999995,0.50718473,0.0,0.0,126.46727608000003
