name,p_nom_max,weight,p_nom,capital_cost,carrier,marginal_cost,p_nom_extendable,bus,efficiency,control,p_nom_opt,type,strength,dE,country,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
AL0 0 retrofitting moderate residential rural,493.0232696409004,,0.0,318492.0735651401,retrofitting,0.010045089365644178,True,AL0 0 residential rural heat,1.0,PQ,1.112801515775064e-05,residential rural, retrofitting moderate,0.6242739662393262,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting ambitious residential rural,194.19197892009552,,0.0,402208.0640420213,retrofitting,0.009122212107765178,True,AL0 0 residential rural heat,1.0,PQ,6.599429455315002e-06,residential rural, retrofitting ambitious,0.2458889962346205,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting moderate services rural,169.89608617671627,,0.0,261471.22614087828,retrofitting,0.010245135414559164,True,AL0 0 services rural heat,1.0,PQ,1.767985570502184e-05,services rural, retrofitting moderate,0.6059227167329029,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting ambitious services rural,75.77093270494169,,0.0,342917.55266260926,retrofitting,0.010177275739576438,True,AL0 0 services rural heat,1.0,PQ,8.555855053069166e-06,services rural, retrofitting ambitious,0.27023182480030683,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting moderate residential urban decentral,523.7190622892643,,0.0,318492.0735651401,retrofitting,0.00972760297654048,True,AL0 0 residential urban decentral heat,1.0,PQ,1.7710268409430388e-05,residential urban decentral, retrofitting moderate,0.6242739662393262,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting ambitious residential urban decentral,206.2824360769116,,0.0,402208.0640420213,retrofitting,0.009656244135763764,True,AL0 0 residential urban decentral heat,1.0,PQ,8.428202908056849e-06,residential urban decentral, retrofitting ambitious,0.2458889962346205,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting moderate services urban decentral,180.47387297539518,,0.0,261471.22614087837,retrofitting,0.010360546514555568,True,AL0 0 services urban decentral heat,1.0,PQ,4.387718105004049e-05,services urban decentral, retrofitting moderate,0.6059227167329029,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AL0 0 retrofitting ambitious services urban decentral,80.48845616134582,,0.0,342917.5526626094,retrofitting,0.010778287875560929,True,AL0 0 services urban decentral heat,1.0,PQ,1.2001995611177595e-05,services urban decentral, retrofitting ambitious,0.27023182480030683,AL,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AT0 0 retrofitting moderate residential rural,3656.114663094226,,0.0,308338.558170493,retrofitting,0.010012761096527264,True,AT0 0 residential rural heat,1.0,PQ,5.028735450696452e-05,residential rural, retrofitting moderate,0.47476866866870215,AT,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
AT0 0 retrofitting ambitious residential rural,1728.2395534618363,,0.0,359895.0819798549,retrofitting,0.010015066961953981,True,AT0 0 residential rural heat,1.0,PQ,1.288696635038399e-05,residential rural, retrofitting ambitious,0.22442239030962302,AT,0.0,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
